STATISTIK BILANGAN MURID MENGIKUT JANTINA DAN KAUM,,,,,,,,,,,,
,,,,,,,,,,,,
BIL,PPD,Kod Sekolah,Nama Sekolah,Melayu Bumiputera,,Cina,,India,,Lain-Lain,,JUMLAH
,,,,L,P,L,P,L,P,L,P,
42,PPD BENTONG,CEA0055,SEKOLAH MENENGAH KEBANGSAAN SERI PELANGAI,77,56,10,9,2,2,1,1,158
43,PPD BENTONG,CEA0056,SEKOLAH MENENGAH KEBANGSAAN SERI BENTONG,166,310,1,,,,,3,480
44,PPD BENTONG,CEA0057,SEKOLAH MENENGAH KEBANGSAAN BUKIT TINGGI,111,76,34,23,,,15,10,269
45,PPD BENTONG,CEA0058,SEKOLAH MENENGAH KEBANGSAAN KUALA REPAS,165,143,3,,9,4,5,4,333
46,PPD BENTONG,CEA0059,SEKOLAH MENENGAH KEBANGSAAN KARAK SETIA,82,64,,,22,14,4,2,188
47,PPD BENTONG,CEA0060,SEKOLAH MENENGAH KEBANGSAAN (FELDA) CHEMOMOI,184,160,,,1,1,7,5,358
48,PPD BENTONG,CEA0061,SEKOLAH MENENGAH KEBANGSAAN SRI LAYANG,23,25,8,1,2,3,1,,63
49,PPD BENTONG,CEB0017,SEKOLAH MENENGAH KEBANGSAAN TELEMONG,2,4,45,46,24,37,1,1,160
50,PPD BENTONG,CEB0019,SEKOLAH MENENGAH KEBANGSAAN KETARI,157,166,217,260,61,58,1,6,926
51,PPD BENTONG,CEB0020,SEKOLAH MENENGAH KEBANGSAAN KATHOLIK,20,26,169,164,23,25,1,1,429
52,PPD BENTONG,CEB0021,SEKOLAH MENENGAH KEBANGSAAN KHAI MUN,104,115,190,190,41,43,2,,685
53,PPD BENTONG,CEE0016,SEKOLAH MENENGAH KEBANGSAAN KARAK,159,148,165,149,108,117,7,2,855
54,PPD BENTONG,CEE0018,SEKOLAH MENENGAH KEBANGSAAN SULAIMAN,157,264,44,60,17,29,2,6,579
55,PPD BENTONG,CHA0002,KOLEJ VOKASIONAL TENGKU AMPUAN AFZAN,509,155,1,2,14,3,6,5,695
56,PPD BENTONG,CRA0001,SEKOLAH MENENGAH AGAMA PERSEKUTUAN BENTONG,357,403,,,1,2,,1,764
57,PPD CAMERON HIGHLANDS,CBA1001,SEKOLAH KEBANGSAAN TANAH RATA,207,198,1,,2,1,1,1,411
58,PPD CAMERON HIGHLANDS,CBA1002,SEKOLAH KEBANGSAAN TELANOK (JHEOA),107,92,,,,,,,199
59,PPD CAMERON HIGHLANDS,CBA1003,SEKOLAH KEBANGSAAN LEMOI (JHEOA),40,40,,,,,,,80
60,PPD CAMERON HIGHLANDS,CBA1004,SEKOLAH KEBANGSAAN MENSON (JHEOA),100,96,,,,1,,,197
61,PPD CAMERON HIGHLANDS,CBA1005,SEKOLAH KEBANGSAAN RPS TERISU (JHEOA),37,58,,,,,1,1,97
62,PPD CAMERON HIGHLANDS,CBA1006,SEKOLAH KEBANGSAAN BRINCHANG,64,49,,,4,,,3,120
63,PPD CAMERON HIGHLANDS,CBA1007,SEKOLAH KEBANGSAAN RINGLET,94,85,,1,4,2,3,2,191
64,PPD CAMERON HIGHLANDS,CBA1008,SEKOLAH KEBANGSAAN KAMPUNG RAJA,67,74,2,2,1,5,2,3,156
65,PPD CAMERON HIGHLANDS,CBB1002,SEKOLAH KEBANGSAAN CONVENT,105,93,3,2,21,17,2,1,244
66,PPD CAMERON HIGHLANDS,CBC1004,SEKOLAH JENIS KEBANGSAAN (CINA) CAMERON,,,68,88,2,,,,158
67,PPD CAMERON HIGHLANDS,CBC1005,SEKOLAH JENIS KEBANGSAAN (CINA) TANAH RATA,3,7,37,36,,1,1,,85
68,PPD CAMERON HIGHLANDS,CBC1006,SEKOLAH JENIS KEBANGSAAN (CINA) BRINCHANG,17,22,40,40,2,2,1,2,126
69,PPD CAMERON HIGHLANDS,CBC1007,SEKOLAH JENIS KEBANGSAAN (CINA) KG RAJA,6,10,104,105,2,,1,,228
70,PPD CAMERON HIGHLANDS,CBC1008,SEKOLAH JENIS KEBANGSAAN (CINA) BERTAM VALLEY,3,7,105,106,2,,,,223
71,PPD CAMERON HIGHLANDS,CBC1010,SEKOLAH JENIS KEBANGSAAN (CINA) TRINGKAP,4,7,43,58,2,1,1,1,117
72,PPD CAMERON HIGHLANDS,CBC1011,SEKOLAH JENIS KEBANGSAAN (CINA) KEA FARM,1,2,22,12,2,2,,,41
73,PPD CAMERON HIGHLANDS,CBD1012,SEKOLAH JENIS KEBANGSAAN (TAMIL) TANAH RATA,1,1,,,19,18,,,39
74,PPD CAMERON HIGHLANDS,CBD1013,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG BOH (1),,,,,4,4,,,8
75,PPD CAMERON HIGHLANDS,CBD1014,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BOH (2),15,14,,,,1,,,30
76,PPD CAMERON HIGHLANDS,CBD1015,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG SG PALAS,,1,,,8,11,,,20
77,PPD CAMERON HIGHLANDS,CBD1016,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BLUE VALLEY,,,,,18,17,,,35
78,PPD CAMERON HIGHLANDS,CBD1017,SEKOLAH JENIS KEBANGSAAN (TAMIL) SHUM YIP LEONG,,,,,6,8,,,14
79,PPD CAMERON HIGHLANDS,CBD1019,SEKOLAH JENIS KEBANGSAAN (TAMIL) RINGLET,,,,,37,28,,,65
80,PPD CAMERON HIGHLANDS,CBD1020,SEKOLAH JENIS KEBANGSAAN (TAMIL) KUALA TERLA,,,,,29,29,,,58
81,PPD CAMERON HIGHLANDS,CBK1009,SEKOLAH JENIS KEBANGSAAN (CINA) KUALA TERLA,2,2,41,64,,,3,,112
82,PPD CAMERON HIGHLANDS,CEA1001,SEKOLAH MENENGAH KEBANGSAAN KAMPUNG RAJA,71,82,146,131,34,46,3,5,518
83,PPD CAMERON HIGHLANDS,CEA1002,SEKOLAH MENENGAH KEBANGSAAN RINGLET,127,140,123,131,44,36,4,2,607
84,PPD CAMERON HIGHLANDS,CEB1003,SEKOLAH MENENGAH KEBANGSAAN SULTAN AHMAD SHAH,270,335,75,72,69,82,9,8,920
85,PPD JERANTUT,CBA2001,SEKOLAH KEBANGSAAN BANDAR JERANTUT,247,246,2,,5,4,4,4,512
86,PPD JERANTUT,CBA2002,SEKOLAH KEBANGSAAN KG BAHARU,26,28,,,,,,,54
87,PPD JERANTUT,CBA2003,SEKOLAH KEBANGSAAN DAMAK,150,160,,,,2,4,4,320
88,PPD JERANTUT,CBA2004,SEKOLAH KEBANGSAAN PAWANG NONG,81,102,,,,,1,1,185
89,PPD JERANTUT,CBA2005,SEKOLAH KEBANGSAAN PEDAH,153,138,,,,,2,3,296
90,PPD JERANTUT,CBA2006,SEKOLAH KEBANGSAAN TANAH ROM,30,27,,1,,,3,1,62
91,PPD JERANTUT,CBA2007,SEKOLAH KEBANGSAAN TEBING TINGGI,46,47,,,,,1,1,95
92,PPD JERANTUT,CBA2008,SEKOLAH KEBANGSAAN BUKIT DINDING,62,75,,,,,5,2,144
93,PPD JERANTUT,CBA2009,SEKOLAH KEBANGSAAN GINTONG,9,12,,,,,,,21
94,PPD JERANTUT,CBA2010,SEKOLAH KEBANGSAAN (FELDA) JENGKA 24,83,66,,,,,,,149
95,PPD JERANTUT,CBA2011,SEKOLAH KEBANGSAAN DURIAN HIJAU,22,22,,,,,1,,45
96,PPD JERANTUT,CBA2012,SEKOLAH KEBANGSAAN BUKIT NIKMAT,38,49,,,,,,1,88
97,PPD JERANTUT,CBA2013,SEKOLAH KEBANGSAAN PULAU TAWAR,54,65,,,1,,1,1,122
98,PPD JERANTUT,CBA2014,SEKOLAH KEBANGSAAN PERIAN,52,35,,,,,,,87
99,PPD JERANTUT,CBA2015,SEKOLAH KEBANGSAAN (FELDA) SG TEKAM,92,78,,,,,3,,173
100,PPD JERANTUT,CBA2016,SEKOLAH KEBANGSAAN PULAU MANSOK,49,46,,,,1,,1,97
101,PPD JERANTUT,CBA2017,SEKOLAH KEBANGSAAN TEH,101,90,,,,1,,1,193
102,PPD JERANTUT,CBA2018,SEKOLAH KEBANGSAAN KUALA TEMBELING,75,78,,,,,1,,154
103,PPD JERANTUT,CBA2019,SEKOLAH KEBANGSAAN PASIR DURIAN,23,26,,,,,2,,51
104,PPD JERANTUT,CBA2020,SEKOLAH KEBANGSAAN CHEBONG,89,46,,1,,1,4,3,144
105,PPD JERANTUT,CBA2021,SEKOLAH KEBANGSAAN MERTING,61,58,3,1,,,,,123
106,PPD JERANTUT,CBA2022,SEKOLAH KEBANGSAAN KUALA TAHAN,161,137,,,,,1,2,301
107,PPD JERANTUT,CBA2023,SEKOLAH KEBANGSAAN KG PAGI,19,12,,,,,,,31
108,PPD JERANTUT,CBA2024,SEKOLAH KEBANGSAAN KUALA SAT,31,35,,,,,,,66
109,PPD JERANTUT,CBA2025,SEKOLAH KEBANGSAAN ULU TEMBELING,40,37,,,,,1,,78
110,PPD JERANTUT,CBA2026,SEKOLAH KEBANGSAAN BUKIT MAT DALING,29,26,,,,,,1,56
111,PPD JERANTUT,CBA2027,SEKOLAH KEBANGSAAN GUSAI,7,6,,,,,,,13
112,PPD JERANTUT,CBA2039,SEKOLAH KEBANGSAAN (FELDA) PADANG PIOL,257,231,,,,,5,4,497
113,PPD JERANTUT,CBA2040,SEKOLAH KEBANGSAAN LKTP TEKAM UTARA,131,124,,,,2,2,2,261
114,PPD JERANTUT,CBA2042,SEKOLAH KEBANGSAAN (FELDA) KOTA GELANGGI 1,126,149,1,,,2,2,4,284
115,PPD JERANTUT,CBA2044,SEKOLAH KEBANGSAAN (FELDA) SG RETANG,120,101,,,,,1,3,225
116,PPD JERANTUT,CBA2045,SEKOLAH KEBANGSAAN (FELDA) KOTA GELANGGI 2,169,156,,1,3,3,,,332
117,PPD JERANTUT,CBA2046,SEKOLAH KEBANGSAAN (LKTP) KOTA GELANGGI 3,102,78,,,,,,,180
118,PPD JERANTUT,CBA2047,SEKOLAH KEBANGSAAN P. PENYELIDIKAN PERTANIAN TUN RAZAK,145,136,,,,,,,281
119,PPD JERANTUT,CBA2048,SEKOLAH KEBANGSAAN BATU BALAI,91,76,2,,,1,1,2,173
120,PPD JERANTUT,CBA2049,SEKOLAH KEBANGSAAN SG. KIOL (JHEOA),38,38,,,,,,,76
121,PPD JERANTUT,CBA2050,SEKOLAH KEBANGSAAN TEMIN,330,268,1,,6,6,5,6,622
122,PPD JERANTUT,CBA2051,SEKOLAH KEBANGSAAN LKTP JENGKA 25,22,28,,,,,,1,51
123,PPD JERANTUT,CBA2052,SEKOLAH KEBANGSAAN JERANTUT JAYA,326,331,,1,25,20,4,8,715
124,PPD JERANTUT,CBA2053,SEKOLAH KEBANGSAAN INDERAPURA,101,79,,,3,1,1,2,187
125,PPD JERANTUT,CBA2054,SEKOLAH KEBANGSAAN (FELDA) LEPAR UTARA 8,95,85,1,1,1,,2,2,187
126,PPD JERANTUT,CBA4024,SEKOLAH KEBANGSAAN (FELDA) LEPAR UTARA 1,188,160,,,,,2,,350
127,PPD JERANTUT,CBB2031,SEKOLAH KEBANGSAAN JERANTUT,176,144,6,3,8,7,2,2,348
128,PPD JERANTUT,CBC2033,SEKOLAH JENIS KEBANGSAAN (CINA) SG JAN,46,36,317,324,11,7,4,4,749
129,PPD JERANTUT,CBC2034,SEKOLAH JENIS KEBANGSAAN (CINA) BATU BALAI,13,14,26,10,,1,,1,65
130,PPD JERANTUT,CBC2035,SEKOLAH JENIS KEBANGSAAN (CINA) JERANSONG,16,8,37,37,,1,,,99
131,PPD JERANTUT,CBC2036,SEKOLAH JENIS KEBANGSAAN (CINA) DAMAK,6,8,17,20,,,,,51
132,PPD JERANTUT,CBD2037,SEKOLAH JENIS KEBANGSAAN (TAMIL) JERANTUT,,,,,80,73,,,153
133,PPD JERANTUT,CEA2029,SEKOLAH MENENGAH KEBANGSAAN PULAU TAWAR,159,120,,,,1,2,1,283
134,PPD JERANTUT,CEA2030,SEKOLAH MENENGAH KEBANGSAAN KUALA TEMBELING,56,48,,,1,,,4,109
135,PPD JERANTUT,CEA2045,SEKOLAH MENENGAH KEBANGSAAN PADANG PIOL,134,147,,,,2,7,6,296
136,PPD JERANTUT,CEA2046,SEKOLAH MENENGAH KEBANGSAAN PADANG SAUJANA,265,458,13,22,6,15,4,6,789
137,PPD JERANTUT,CEA2047,SEKOLAH MENENGAH KEBANGSAAN DAMAK,184,160,29,23,,2,5,2,405
138,PPD JERANTUT,CEA2048,SEKOLAH MENENGAH KEBANGSAAN TEMIN,293,334,43,44,12,4,8,7,745
139,PPD JERANTUT,CEA2049,SEKOLAH MENENGAH KEBANGSAAN KOTA GELANGGI 2,150,125,,1,1,2,4,,283
140,PPD JERANTUT,CEA2050,SEKOLAH MENENGAH KEBANGSAAN JUBLI PERAK SULTAN HAJI AHMAD SHAH,142,123,,3,,,1,2,271
141,PPD JERANTUT,CEA2051,SEKOLAH MENENGAH KEBANGSAAN P. PENYELIDIKAN PERTANIAN TUN RAZAK,292,325,,,1,,4,1,623
142,PPD JERANTUT,CEA2052,SEKOLAH MENENGAH KEBANGSAAN SUNGAI RETANG,108,104,,,1,,3,2,218
143,PPD JERANTUT,CEA2053,SEKOLAH MENENGAH KEBANGSAAN INDERAPURA,248,190,11,3,28,31,5,6,522
144,PPD JERANTUT,CEA2054,SEKOLAH MENENGAH KEBANGSAAN JENGKA 24,51,47,,,,,1,,99
145,PPD JERANTUT,CEA4077,SEKOLAH MENENGAH KEBANGSAAN LEPAR UTARA,156,174,1,,,,3,2,336
146,PPD JERANTUT,CEE2032,SEKOLAH MENENGAH KEBANGSAAN JERANTUT,308,302,245,264,34,33,6,13,1205
147,PPD JERANTUT,CFT2001,SMA KOTA GELANGGI 3,50,59,,,,,1,,110
148,PPD JERANTUT,CFT2002,SEKOLAH AGAMA MAAHAD TAHFIZ WA TA'LIMIL AL-QURAN,75,,,,,,1,,76
149,PPD JERANTUT,CRA2001,SEKOLAH MENENGAH KEBANGSAAN AGAMA TENGKU AMPUAN HAJJAH AFZAN PAHANG,292,386,2,,,,1,3,684
150,PPD LIPIS,CBA3001,SEKOLAH KEBANGSAAN MELA,53,51,,,,,1,,105
151,PPD LIPIS,CBA3002,SEKOLAH KEBANGSAAN KUALA TELANG,28,18,,,,,,,46
152,PPD LIPIS,CBA3003,SEKOLAH KEBANGSAAN BATU YON,80,89,,,,,1,,170
153,PPD LIPIS,CBA3004,SEKOLAH KEBANGSAAN KG KELEDEK,65,70,,,,,,1,136
154,PPD LIPIS,CBA3005,SEKOLAH KEBANGSAAN AUR GADING,30,13,,,,,,2,45
155,PPD LIPIS,CBA3006,SEKOLAH KEBANGSAAN MERAPOH,138,140,,,1,,1,2,282
156,PPD LIPIS,CBA3007,SEKOLAH KEBANGSAAN PENJOM,121,112,,,2,,3,2,240
157,PPD LIPIS,CBA3008,SEKOLAH KEBANGSAAN (FELDA) KECAU 1,133,145,1,,,1,2,1,283
158,PPD LIPIS,CBA3009,SEKOLAH KEBANGSAAN BENTA,123,118,,,6,2,2,3,254
159,PPD LIPIS,CBA3010,SEKOLAH KEBANGSAAN BUDU,18,15,,,,,,,33
160,PPD LIPIS,CBA3011,SEKOLAH KEBANGSAAN CHAT,60,57,,,,,,,117
161,PPD LIPIS,CBA3012,SEKOLAH KEBANGSAAN KEMAHANG,27,24,,,,,2,,53
162,PPD LIPIS,CBA3013,SEKOLAH KEBANGSAAN TANJUNG BESAR,58,50,,,,,,,108
163,PPD LIPIS,CBA3014,SEKOLAH KEBANGSAAN JERANSANG,77,57,,,,,1,,135
164,PPD LIPIS,CBA3016,SEKOLAH KEBANGSAAN PAGAR SASAK,62,60,,,,,3,2,127
165,PPD LIPIS,CBA3017,SEKOLAH KEBANGSAAN TANJUNG GAHAI,31,40,,,,,,,71
166,PPD LIPIS,CBA3018,SEKOLAH KEBANGSAAN KUALA MEDANG,78,70,1,,,,1,2,152
167,PPD LIPIS,CBA3019,SEKOLAH KEBANGSAAN WAN IBRAHIM,338,286,3,,5,2,2,,636
168,PPD LIPIS,CBA3020,SEKOLAH KEBANGSAAN RELONG,74,72,,,,1,,,147
169,PPD LIPIS,CBA3021,SEKOLAH KEBANGSAAN BERCHANG,52,46,,,,,2,1,101
170,PPD LIPIS,CBA3022,SEKOLAH KEBANGSAAN LUBOK KULIT,97,97,,,,,3,1,198
171,PPD LIPIS,CBA3023,SEKOLAH KEBANGSAAN PADANG TENGKU,161,127,1,,1,5,2,5,302
172,PPD LIPIS,CBA3024,SEKOLAH KEBANGSAAN KECHOR TUI,48,72,,,,,3,1,124
173,PPD LIPIS,CBA3025,SEKOLAH KEBANGSAAN GUA,69,73,,,,,1,,143
174,PPD LIPIS,CBA3026,SEKOLAH KEBANGSAAN KUALA LANAR,55,37,,1,,,,,93
175,PPD LIPIS,CBA3028,SEKOLAH KEBANGSAAN JERAM BUNGOR,11,18,,,,,,1,30
176,PPD LIPIS,CBA3029,SEKOLAH KEBANGSAAN JERAM LANDAK,16,18,,,,,,,34
177,PPD LIPIS,CBA3030,SEKOLAH KEBANGSAAN KUALA KENONG,6,8,,,,,,,14
178,PPD LIPIS,CBA3032,SEKOLAH KEBANGSAAN KERAMBIT,101,82,,,,,2,1,186
179,PPD LIPIS,CBA3052,SEKOLAH KEBANGSAAN (FELDA) SG KOYAN,303,303,1,2,4,1,5,10,629
180,PPD LIPIS,CBA3053,SEKOLAH KEBANGSAAN CHEGAR PERAH,42,33,,,,,1,1,77
181,PPD LIPIS,CBA3054,SEKOLAH KEBANGSAAN (FELDA) CHEGAR PERAH,90,61,,,,,,,151
182,PPD LIPIS,CBA3055,SEKOLAH KEBANGSAAN BATU 13,20,20,,,,,,1,41
183,PPD LIPIS,CBA3056,SEKOLAH KEBANGSAAN KUALA KOYAN (JHEOA),59,69,,,,,,,128
184,PPD LIPIS,CBA3057,SEKOLAH KEBANGSAAN TITOM (JHEOA),87,67,,,,,,,154
185,PPD LIPIS,CBA3058,SEKOLAH KEBANGSAAN LENJANG(JHEOA),189,196,,,,,,,385
186,PPD LIPIS,CBA3059,SEKOLAH KEBANGSAAN RPS BETAU (JHEOA),272,277,,,,,,,549
187,PPD LIPIS,CBA3060,SEKOLAH KEBANGSAAN SENDERUT(JHEOA),245,198,,1,,,,,444
188,PPD LIPIS,CBA3061,SEKOLAH KEBANGSAAN LANAI (JHEOA),86,103,1,1,,,,,191
189,PPD LIPIS,CBA3062,SEKOLAH KEBANGSAAN BATU 9,8,12,,,,,,,20
190,PPD LIPIS,CBA3063,SEKOLAH KEBANGSAAN TEMPOYANG,88,70,,,,,,,158
191,PPD LIPIS,CBA3064,SEKOLAH KEBANGSAAN TELUK GUNUNG,128,114,,,,,2,4,248
192,PPD LIPIS,CBA3065,SEKOLAH KEBANGSAAN LIMAU PURUT,40,27,,,,,1,1,69
193,PPD LIPIS,CBB3036,SEKOLAH KEBANGSAAN CLIFFORD,234,217,,,7,10,2,3,473
194,PPD LIPIS,CBC3040,SEKOLAH JENIS KEBANGSAAN (CINA) MELA,6,4,6,,,,,,16
195,PPD LIPIS,CBC3041,SEKOLAH JENIS KEBANGSAAN (CINA) CHUNG HWA,29,34,99,80,6,7,1,3,259
196,PPD LIPIS,CBC3042,SEKOLAH JENIS KEBANGSAAN (CINA) PADANG TENGKU,9,8,8,9,3,2,,,39
197,PPD LIPIS,CBC3043,SEKOLAH JENIS KEBANGSAAN (CINA) JERKOH,5,9,39,38,,,3,1,95
198,PPD LIPIS,CBC3044,SEKOLAH JENIS KEBANGSAAN (CINA) PENJOM,3,1,33,24,,,,1,62
199,PPD LIPIS,CBC3045,SEKOLAH JENIS KEBANGSAAN (CINA) BENTA,7,5,35,38,3,6,,,94
200,PPD LIPIS,CBD3047,SEKOLAH JENIS KEBANGSAAN (TAMIL) KUALA LIPIS,,,,,24,32,,,56
201,PPD LIPIS,CBD3048,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BUDU,,,,,6,5,,,11
202,PPD LIPIS,CBD3049,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG BENTA,,,,,36,22,,,58
203,PPD LIPIS,CBD3050,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG SELBORNE,,,,,18,17,,,35
204,PPD LIPIS,CEA3034,SEKOLAH MENENGAH KEBANGSAAN ORANG KAYA HAJI,264,202,,,,1,4,4,475
205,PPD LIPIS,CEA3035,SEKOLAH MENENGAH KEBANGSAAN PADANG TENGKU,302,289,,,7,12,9,6,625
206,PPD LIPIS,CEA3036,SEKOLAH MENENGAH KEBANGSAAN BENTA,74,68,64,49,32,22,1,4,314
207,PPD LIPIS,CEA3055,SEKOLAH MENENGAH KEBANGSAAN (FELDA) SG KOYAN,339,390,1,,3,3,11,7,754
208,PPD LIPIS,CEA3056,SEKOLAH MENENGAH KEBANGSAAN MERAPOH,207,204,,1,,,2,3,417
209,PPD LIPIS,CEA3057,SEKOLAH MENENGAH KEBANGSAAN SERI LIPIS,117,211,,,,2,2,1,333
210,PPD LIPIS,CEA3058,SEKOLAH MENENGAH KEBANGSAAN KERAMBIT,129,112,,,,,3,2,246
211,PPD LIPIS,CEA3059,SEKOLAH MENENGAH KEBANGSAAN KUALA LANAR,218,289,2,,,,2,,511
212,PPD LIPIS,CEB3038,SEKOLAH MENENGAH KEBANGSAAN SETIA WANGSA,145,143,4,17,19,11,1,3,343
213,PPD LIPIS,CEB3039,SEKOLAH MENENGAH KEBANGSAAN CHUNG HWA,17,13,113,99,19,14,3,1,279
214,PPD LIPIS,CEE3033,SEKOLAH MENENGAH KEBANGSAAN PANGLIMA GARANG ABDUL SAMAD,127,111,,,1,,2,7,248
215,PPD LIPIS,CEE3037,SEKOLAH MENENGAH KEBANGSAAN CLIFFORD,260,329,7,19,12,23,1,5,656
216,PPD LIPIS,CFT3001,SMA AL-ITTIHADIAH,62,61,,,,,,,123
217,PPD LIPIS,CHA3002,KOLEJ VOKASIONAL SULTAN HAJI AHMAD SHAH AL-MUSTAIN BILLAH,430,89,1,,4,1,8,2,535
218,PPD LIPIS,CRA3001,SEKOLAH MENENGAH KEBANGSAAN AGAMA KUALA LIPIS,138,160,,,,,1,,299
219,PPD KUANTAN,CBA4001,SEKOLAH KEBANGSAAN TERUNTUM,566,341,,1,5,6,5,5,929
220,PPD KUANTAN,CBA4002,SEKOLAH KEBANGSAAN GALING,157,105,4,2,36,5,7,4,320
221,PPD KUANTAN,CBA4003,SEKOLAH KEBANGSAAN BESERAH,454,402,,,,,5,3,864
222,PPD KUANTAN,CBA4004,SEKOLAH KEBANGSAAN SUNGAI KARANG,823,767,,,2,3,10,11,1616
223,PPD KUANTAN,CBA4005,SEKOLAH KEBANGSAAN SUNGAI ULAR,291,284,,,,,2,2,579
224,PPD KUANTAN,CBA4006,SEKOLAH KEBANGSAAN BALOK,616,561,2,1,,1,6,6,1193
225,PPD KUANTAN,CBA4007,SEKOLAH KEBANGSAAN CHERATING,331,334,1,,,,35,26,727
226,PPD KUANTAN,CBA4008,SEKOLAH KEBANGSAAN KAMPONG PADANG,355,323,2,1,9,2,2,2,696
227,PPD KUANTAN,CBA4009,SEKOLAH KEBANGSAAN PANCHING,143,133,2,1,2,,2,1,284
228,PPD KUANTAN,CBA4010,SEKOLAH KEBANGSAAN SUNGAI LEMBING,48,56,,,,,1,,105
229,PPD KUANTAN,CBA4011,SEKOLAH KEBANGSAAN BATU TIGA,162,157,1,1,,,3,,324
230,PPD KUANTAN,CBA4012,SEKOLAH KEBANGSAAN PERMATANG BADAK,314,289,,,1,2,5,3,614
231,PPD KUANTAN,CBA4013,SEKOLAH KEBANGSAAN FAKEH ABD. SAMAD,559,472,1,2,4,4,17,25,1084
232,PPD KUANTAN,CBA4014,SEKOLAH KEBANGSAAN TANJUNG LUMPUR,253,234,,1,,,1,4,493
233,PPD KUANTAN,CBA4015,SEKOLAH KEBANGSAAN KEMPADANG,652,545,1,1,1,1,6,5,1212
234,PPD KUANTAN,CBA4016,SEKOLAH KEBANGSAAN KUALA PENOR,106,100,,1,,,3,3,213
235,PPD KUANTAN,CBA4017,SEKOLAH KEBANGSAAN CHEROK PALOH,62,66,,,,,,,128
236,PPD KUANTAN,CBA4019,SEKOLAH KEBANGSAAN JAYA GADING,589,533,,,3,1,19,12,1157
237,PPD KUANTAN,CBA4020,SEKOLAH KEBANGSAAN NADAK,71,60,,,,,,,131
238,PPD KUANTAN,CBA4021,SEKOLAH KEBANGSAAN (LKTP) BUKIT GOH,405,389,,,,,2,2,798
239,PPD KUANTAN,CBA4022,SEKOLAH KEBANGSAAN (LKTP) BUKIT SAGU 1,152,127,,,,,,1,280
240,PPD KUANTAN,CBA4023,SEKOLAH KEBANGSAAN (FELDA) LEPAR HILIR 2,117,104,1,,6,4,2,,234
241,PPD KUANTAN,CBA4065,SEKOLAH KEBANGSAAN (FELDA) SUNGAI PANCHING UTARA,112,125,,,,3,1,1,242
242,PPD KUANTAN,CBA4066,SEKOLAH KEBANGSAAN (FELDA) SG PANCHING SELATAN,103,99,,,,,,,202
243,PPD KUANTAN,CBA4067,SEKOLAH KEBANGSAAN JABOR,53,39,,,,1,1,1,95
244,PPD KUANTAN,CBA4072,SEKOLAH KEBANGSAAN (FELDA) BT KUANTAN,140,120,,,,,,,260
245,PPD KUANTAN,CBA4075,SEKOLAH KEBANGSAAN (FELDA) SG PANCHING TIMUR,162,165,,,,,,3,330
246,PPD KUANTAN,CBA4076,SEKOLAH KEBANGSAAN BUKIT SEKILAU,343,277,6,3,5,4,6,4,648
